Concept	Precision	Recall	F-score
knee	1.0	0.08	0.15
child	1.0	0.15	0.26
neck	1.0	0.18	0.31
wing	1.0	0.21	0.35
live(alive)	1.0	0.22	0.37
swim	1.0	0.23	0.37
here	1.0	0.25	0.4
rope	1.0	0.25	0.4
night	1.0	0.26	0.41
breasts	1.0	0.26	0.41
breathe	1.0	0.29	0.44
sky	1.0	0.29	0.45
father	1.0	0.3	0.46
dust	1.0	0.3	0.46
nose	1.0	0.31	0.47
tongue	1.0	0.32	0.48
rightside	1.0	0.32	0.49
float	1.0	0.32	0.49
fight	1.0	0.33	0.5
woman	1.0	0.33	0.5
claw	1.0	0.33	0.5
stick	1.0	0.33	0.5
split	1.0	0.34	0.5
man	1.0	0.34	0.51
louse	1.0	0.34	0.51
rotten	1.0	0.34	0.51
husband	1.0	0.35	0.52
eye	1.0	0.36	0.53
star	1.0	0.37	0.54
where	1.0	0.37	0.54
we	1.0	0.37	0.54
there	1.0	0.38	0.55
they	1.0	0.38	0.55
wife	1.0	0.38	0.55
guts	1.0	0.38	0.55
sand	1.0	0.38	0.55
vomit	1.0	0.38	0.55
leftside	1.0	0.39	0.56
moon	1.0	0.39	0.56
mather	1.0	0.4	0.57
know	1.0	0.41	0.58
what	1.0	0.41	0.58
skin	1.0	0.41	0.59
leaf	1.0	0.43	0.6
bird	1.0	0.43	0.6
woods	1.0	0.44	0.62
ear	1.0	0.45	0.62
belly	1.0	0.46	0.63
grease	1.0	0.46	0.63
how	1.0	0.46	0.63
seed	1.0	0.5	0.67
narrow	1.0	0.5	0.67
feather	1.0	0.51	0.68
lie	1.0	0.51	0.68
bone	1.0	0.52	0.68
earth	1.0	0.52	0.68
if	1.0	0.53	0.69
tail	1.0	0.54	0.7
see	1.0	0.55	0.71
who	1.0	0.63	0.77
tooth	1.0	0.63	0.78
hear	1.0	0.64	0.78
back	1.0	0.65	0.79
leg	1.0	0.66	0.79
horn	1.0	0.66	0.8
hair	1.0	0.67	0.8
head	1.0	0.68	0.81
mouth	1.0	0.7	0.82
egg	1.0	0.72	0.84
fruit	1.0	0.72	0.84
flower	1.0	0.73	0.85
snake	1.0	0.75	0.85
year	1.0	0.78	0.88
sun	1.0	0.8	0.89
heart [compound]	1.0	0.81	0.89
salt	1.0	0.81	0.89
stone	1.0	0.81	0.89
smoke	1.0	0.82	0.9
foot	1.0	0.82	0.9
thick	1.0	0.82	0.9
freeze	1.0	0.86	0.93
dirty	1.0	0.88	0.94
this	1.0	0.9	0.95
cloud	1.0	0.9	0.95
come	1.0	0.9	0.95
tree	1.0	0.9	0.95
worm	1.0	0.9	0.95
hunt	1.0	0.9	0.95
round	1.0	0.9	0.95
fog	1.0	0.9	0.95
ash	1.0	0.9	0.95
hand	1.0	0.9	0.95
near	1.0	0.9	0.95
swell	1.0	0.91	0.95
ice	1.0	0.91	0.95
sew	1.0	0.91	0.96
he	1.0	0.93	0.97
you	1.0	0.93	0.97
tie	1.0	0.94	0.97
play	1.0	0.94	0.97
dog	1.0	0.95	0.97
stand	1.0	0.95	0.97
good	1.0	0.95	0.98
all	1.0	1.0	1.0
and	1.0	1.0	1.0
animal	1.0	1.0	1.0
bad	1.0	1.0	1.0
bark	1.0	1.0	1.0
because	1.0	1.0	1.0
big	1.0	1.0	1.0
bite	1.0	1.0	1.0
black	1.0	1.0	1.0
blood	1.0	1.0	1.0
blow	1.0	1.0	1.0
burn	1.0	1.0	1.0
cold	1.0	1.0	1.0
correct	1.0	1.0	1.0
count [noun]	1.0	1.0	1.0
count [verb]	1.0	1.0	1.0
cut	1.0	1.0	1.0
day	1.0	1.0	1.0
die	1.0	1.0	1.0
dig	1.0	1.0	1.0
drink	1.0	1.0	1.0
dry	1.0	1.0	1.0
dull	1.0	1.0	1.0
eat	1.0	1.0	1.0
fall	1.0	1.0	1.0
far	1.0	1.0	1.0
fear	1.0	1.0	1.0
few	1.0	1.0	1.0
fire	1.0	1.0	1.0
fish	1.0	1.0	1.0
five	1.0	1.0	1.0
flesh	1.0	1.0	1.0
flow	1.0	1.0	1.0
fly	1.0	1.0	1.0
four	1.0	1.0	1.0
full	1.0	1.0	1.0
give	1.0	1.0	1.0
grass	1.0	1.0	1.0
green	1.0	1.0	1.0
heart	1.0	1.0	1.0
heavy	1.0	1.0	1.0
hit	1.0	1.0	1.0
hold-take	1.0	1.0	1.0
hot	1.0	1.0	1.0
I	1.0	1.0	1.0
in	1.0	1.0	1.0
kill	1.0	1.0	1.0
lake	1.0	1.0	1.0
laugh	1.0	1.0	1.0
liver	1.0	1.0	1.0
long	1.0	1.0	1.0
many	1.0	1.0	1.0
mountain	1.0	1.0	1.0
name	1.0	1.0	1.0
new	1.0	1.0	1.0
not	1.0	1.0	1.0
old	1.0	1.0	1.0
one	1.0	1.0	1.0
path	1.0	1.0	1.0
person	1.0	1.0	1.0
pull	1.0	1.0	1.0
push	1.0	1.0	1.0
rain	1.0	1.0	1.0
red	1.0	1.0	1.0
river	1.0	1.0	1.0
river_2	1.0	1.0	1.0
root	1.0	1.0	1.0
rub	1.0	1.0	1.0
say	1.0	1.0	1.0
scratch	1.0	1.0	1.0
sea	1.0	1.0	1.0
sharp	1.0	1.0	1.0
short	1.0	1.0	1.0
sing	1.0	1.0	1.0
sit	1.0	1.0	1.0
sleep	1.0	1.0	1.0
small	1.0	1.0	1.0
smell	1.0	1.0	1.0
smooth	1.0	1.0	1.0
snow	1.0	1.0	1.0
spit	1.0	1.0	1.0
squeeze	1.0	1.0	1.0
stab	1.0	1.0	1.0
straight	1.0	1.0	1.0
suck	1.0	1.0	1.0
that	1.0	1.0	1.0
thin	1.0	1.0	1.0
think	1.0	1.0	1.0
three	1.0	1.0	1.0
throw	1.0	1.0	1.0
turn	1.0	1.0	1.0
two	1.0	1.0	1.0
walk	1.0	1.0	1.0
wash	1.0	1.0	1.0
water	1.0	1.0	1.0
wet	1.0	1.0	1.0
white	1.0	1.0	1.0
wide	1.0	1.0	1.0
wind	1.0	1.0	1.0
yellow	1.0	1.0	1.0
