ID	LEXIBANK_ID	SUBGROUP	ID_IN_SOURCE	CONCEPT	CONCEPT_IN_SOURCE	CHINESE_GLOSS	DOCULECT	DOCULECT_NAME	GLOTTOCODE	TOKENS	CONCEPTICON	CONCEPTICON_ID	COGID	TONE_CLASS	TONE_VALUE	CLASSIFICATION	RATLIFF_FORM	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS
46	WhiteHmong-222_theant-1			ANT	the ant		WhiteHmong	White Hmong	hmon1333	ⁿtʃ au ˨˩˧/²¹³	587		191	˩'	˨˩˧/²¹³	White Hmong	ⁿʈʂ au ⁸/²⁴	1 7 8	AXT	TA6	12	12.T.C 12.A.V 12.6.T	1.6 3.0 1.0	ⁿtʃau˨˩˧/²¹³	0	6
1567	EasternLuobuohe-193_ant-1	Hmongic		ANT	ant		EasternLuobuohe	Luobuohe, Eastern	luop1235	tɕ i n ³¹ + ⁿb y ³³	587		191	平 入	³¹ ³³	Luopohe	ⁿp j u ᴰ/⁴	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PY4	3	3.C.C 3.I.V 3.N.c 3.3.T 3._._ 3.P.C 3.Y.V 3.4.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿby³³	0	3 2
1568	WesternLuobuohe-193_ant-1	Hmongic		ANT	ant		WesternLuobuohe	Luobuohe, Western	luop1235	tɕ i n ³¹ + ⁿb ø ⁵⁵	587		191	平.上 去	³¹ ⁵⁵	Luopohe	ⁿp j u ᴰ/⁴	2 7 4 8 9 1 7 8	AXLT_AXT	CIN3_PU5	10	10.C.C 10.I.V 10.N.c 10.3.T 10._._ 10.P.C 10.U.V 10.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	tɕin³¹+ⁿbø⁵⁵	0	3 2
1569	SouthernGuizhouChuanqiandian-193_ant-1	Hmongic		ANT	ant		SouthernGuizhouChuanqiandian	Chuanqiandian, Southern Guizhou	cent1394	k u/w a ³² + ⁿp ʐ ɔ ²¹	587		191	? ?	³² ²¹	Southern Chuanqiandian	ⁿp ʐ ɔ ⁸/²⁴	1 6 7 8 9 1 3 7 8	ACXT_ACXT	KWA3_PSU3	8	8.K.C 8.W.C 8.A.V 8.3.T 8._._ 8.P.C 8.S.C 8.U.V 8.3.T	1.6 1.2 3.0 1.0 0.0 1.6 1.2 3.0 1.0	ku/wa³²+ⁿpʐɔ²¹	0	4 2
1570	WesternXiangxi-193_ant-1	Hmongic		ANT	ant		WesternXiangxi	Xiangxi, West	west2430	t ɑ ³⁵ + ⁿpʰ a ⁴⁴	587		59	阴平 阴上.阴入	³⁵ ⁴⁴	Western Xiangxi	ⁿpʰ a ³	1 7 8 9 1 7 8	AXT_AXT	TA2_PA5	11	11.T.C 11.A.V 11.2.T 11._._ 11.P.C 11.A.V 11.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	tɑ³⁵+ⁿpʰa⁴⁴	0	6 2
1571	NorthernQiandong-193_ant-1	Hmongic		ANT	ant		NorthernQiandong	Qiandong, North	nort2747	k a ŋ ³³ + z o ¹³	587		59	阴平 阴入	³³ ¹³	Northern Qiandong	pʰ e n ³	1 7 4 8 9 3 7 8	AXLT_AXT	KAN4_SU2	7	7.K.C 7.A.V 7.N.c 7.4.T 7._._ 7.S.C 7.U.V 7.2.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	kaŋ³³+zo¹³	0	3 1
1572	WesternBaheng-193_ant-1	Hmongic		ANT	ant		WesternBaheng	Baheng, West	pahn1237	q a ⁰/³ + ȵ̥ ei ³¹	587		59	? 阴上	⁰/³ ³¹	Baheng	m̥ j e ³	1 7 8 9 4 7 8	AXT_AXT	KA6_NE3	9	9.K.C 9.A.V 9.6.T 9._._ 9.N.C 9.E.V 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	qa⁰/³+ȵ̥ei³¹	0	3 5
1573	EasternBaheng-193_ant-1	Hmongic		ANT	ant		EasternBaheng	Baheng, East	pahn1237	ⁿpʰ j e ³¹³	587		59	阴上	³¹³	Baheng	m̥ j e ³	1 6 7 8	ACXT	PJE6	2	2.P.C 2.J.C 2.E.V 2.6.T	1.6 1.2 3.0 1.0	ⁿpʰje³¹³	0	2
1574	Jiongnai-193_ant-1	Hmongic		ANT	ant		Jiongnai	Jiongnai	jion1236	ⁿpʰ ai ⁵³	587		59	阴上	⁵³	Jiongnai	ⁿpʰ ai ³	1 7 8	AXT	PA3	4	4.P.C 4.A.V 4.3.T	1.6 3.0 1.0	ⁿpʰai⁵³	0	2
1575	Mien-193_ant-1	Mienic		ANT	ant		Mien	Mien	iumi1238	dz j əu ⁵³	587		610	阴上	⁵³	Mien	ɕ eu ³	2 6 7 8	ACXT	CJE3	6	6.C.C 6.J.C 6.E.V 6.3.T	1.6 1.2 3.0 1.0	dzjəu⁵³	0	1
