ID	DOCULECT	CONCEPT	CONCEPT_IN_SOURCE	VALUE	FORM	TOKENS	MORPHEMES	COGID	COGIDS	RATLIFF_COGID	RATLIFF_TOKENS	TONE_CLASS	TONE_VALUE	CROSSIDS	NOTE
1	WhiteHmong	MUD	the mud			a ³⁴ + ⁿk o ¹¹	_mud MUD	18	3858 3852			阴上 阴平.阴上.阳上.阴入	³⁴ ¹¹	3858 23	
489	EasternLuobuohe	MUD	mud			q o ⁰/⁵ + l a ³¹	_MUD mud	14	3852 3853			轻声 阴平.阳平.*阳平	⁰/⁵ ³¹	23 3853	
490	WesternLuobuohe	MUD	mud			ʔ ə ⁰/² + l ɑ ³¹	_mud MUD	14	3857 3853			轻声 阴平.阳平.阴入.阳入.*阳平	⁰/² ³¹	3857 3853	
491	SouthernGuizhouChuanqiandian	MUD	mud			l ə ¹³	MUD	14	3853			阳去.阴入.*阴去.*阳去	¹³	3853	
492	WesternXiangxi	MUD	mud			q ɑ ⁴⁴ + l ɑ ³¹	_MUD mud	14	3852 3853			阴上.阴入.*阴平 阳平.*阳平	⁴⁴ ³¹	23 3853	
493	NorthernQiandong	MUD	mud			q a ³⁵ + s a ŋ ³⁵	_MUD mud	13	3852 3856			阴上 阴上	³⁵ ³⁵	23 3856	
494	WesternBaheng	MUD	mud			q a ⁰/³ + l e ³³	_MUD mud	14	3852 3853			轻声 阳平	⁰/³ ³³	23 3853	
495	Jiongnai	MUD	mud			p u ³¹	MUD	12	3854			阳上.*阳平	³¹	3854	
496	Mien	MUD	mud			ȵ e ³³	MUD	302	3851	302	n i ¹	阴平	³³	3851	
497	KimMun	MUD	mud			ˀp aː m ⁵³	MUD	8	3855	302	n i ¹’/¹	0	⁵³	3855	
498	BiaoMin	MUD	mud			n̥ i ³³	MUD	302	3851	302	n̥ i ¹	阴平.*阴平	³³	3851	
499	ZaoMin	MUD	mud			n e ⁴⁴	MUD	302	3851	302	n ɛi ¹	阴平.阳上.阴入.*阴平	⁴⁴	3851	
2	WhiteHmong	WATER	the water			d e ⁵³	WATER	2	6421			阳平	⁵³	6421	
500	EasternLuobuohe	WATER	water			q o ⁰/⁵ + ʔ u ŋ ³¹	_water WATER	856	6419 6418	856	o ŋ ᴬ/¹	轻声 阴平.阳平.*阳平	⁰/⁵ ³¹	6419 6267	
501	WesternLuobuohe	WATER	water			ʔ ə ⁰/² + ʔ o ŋ ³¹	_water WATER	856	6420 6418	856	o ŋ ᴬ/¹	轻声 阴平.阳平.阴入.阳入.*阳平	⁰/² ³¹	6420 6267	
502	SouthernGuizhouChuanqiandian	WATER	water			ʔ a ŋ ³²	WATER	856	6418	856	a ŋ ¹ᵃ/¹	阴平	³²	6267	
503	WesternXiangxi	WATER	water			ʔ u ³⁵	WATER	856	6418 7	856	u ¹	阴平	³⁵	6267	
504	NorthernQiandong	WATER	water			ʔ ə ³³	WATER	856	6418	856	ə ¹	阴平.*阴平	³³	6267	
505	WesternBaheng	WATER	water			ʔ a ŋ ³⁵	WATER	856	6418	856	ʔ ɔ̃ ¹	阴平	³⁵	6267	
506	EasternBaheng	WATER	water			ʔ a ŋ ³⁵	WATER	856	6418	856	ʔ ɔ̃ ¹	阴平.*阴去.*阴入.*阳入	³⁵	6267	
507	Jiongnai	WATER	water			ʔ ɒ ŋ ⁴⁴	WATER	856	6418	856	w a ŋ ¹	阴平.*阴平	⁴⁴	6267	
508	Mien	WATER	water			ʔ uː m ³³	WATER	856	6418	856	w ə m ¹	阴平	³³	6267	
509	KimMun	WATER	water			ʔ uː m ³⁵	WATER	856	6418	856	w ɔ m ¹	阴平.阳平.阴入.阳入	³⁵	6267	
510	BiaoMin	WATER	water			ʔ ə n ³³	WATER	856	6418	856	ə n ¹	阴平.*阴平	³³	6267	
511	ZaoMin	WATER	water			m */ə m̩/m ²⁴	WATER	856	6422	856	m̩ */ə ³	阴上.*阳平	²⁴	6422	
3	WhiteHmong	STAR	the star			ʰn u ⁵⁵ + q u ⁵⁵	_star STAR	769	5514 5509	769	q u ¹	阴平 阴平	⁵⁵ ⁵⁵	5514 5509	
297	EasternLuobuohe	STAR	star			t a ŋ ³¹ + q a ŋ ³¹	_star STAR	769	5511 5509	769	q a ŋ ᴬ/¹	阴平.阳平.*阳平 阴平.阳平.*阳平	³¹ ³¹	1004 5509	
298	WesternLuobuohe	STAR	star			t ɑ ŋ ³¹ + q ɑ ŋ ³¹	_star STAR	769	5511 5509	769	q a ŋ ᴬ/¹	阴平.阳平.阴入.阳入.*阳平 阴平.阳平.阴入.阳入.*阳平	³¹ ³¹	1004 5509	
